history_id,department,severity,tier,days_overdue,safety_risk_flag,punctuality_impact_score,requested_duration_hours,granted_duration_hours,was_consolidated,actual_incident_avoided,ground_truth_priority
HIST-00295,Traction,Major,Tier-2 Main,23,1,77,2.2,3.2,0,1,82.7
HIST-00296,Traction,Minor,Tier-1 Trunk,2,0,26,3.3,2.4,0,0,32.3
HIST-00297,S&T,Major,Tier-1 Trunk,18,1,50,2.9,2.8,0,1,84.4
HIST-00298,S&T,Major,Tier-1 Trunk,0,1,90,2.4,3.3,0,1,75.2
HIST-00299,Engineering,Major,Tier-3 Branch,23,0,58,3.3,1.7,0,0,39.7
HIST-00300,Engineering,Major,Tier-3 Branch,5,1,35,3.9,1.2,0,0,59.8
HIST-00301,Traction,Major,Tier-2 Main,0,1,67,3.1,2.2,1,0,61.7
HIST-00302,Engineering,Minor,Tier-2 Main,25,0,25,1.9,3.3,0,1,33.7
HIST-00303,Traction,Major,Tier-2 Main,0,0,30,3.3,1.8,0,0,30.1
HIST-00304,Engineering,Major,Tier-3 Branch,4,0,41,1.6,1.6,1,0,24.9
HIST-00305,Traction,Major,Tier-2 Main,18,1,47,3.0,1.2,1,1,74.5
HIST-00306,Engineering,Critical,Tier-1 Trunk,10,1,80,3.3,2.8,0,1,89.1
HIST-00307,Traction,Major,Tier-1 Trunk,6,1,43,2.7,2.0,1,1,74.9
HIST-00308,Traction,Minor,Tier-1 Trunk,9,0,39,2.2,1.3,0,0,37.3
HIST-00309,Traction,Minor,Tier-2 Main,1,0,23,1.7,1.6,0,0,21.2
HIST-00310,Engineering,Major,Tier-1 Trunk,5,1,81,3.6,2.4,1,1,75.2
HIST-00311,Engineering,Critical,Tier-1 Trunk,25,1,47,3.5,1.6,0,1,95.3
HIST-00312,Traction,Major,Tier-2 Main,20,1,63,3.8,1.2,0,1,78.9
HIST-00313,Engineering,Minor,Tier-1 Trunk,4,0,15,2.3,1.1,0,1,33.6
HIST-00314,S&T,Major,Tier-2 Main,15,1,84,1.9,1.5,0,1,74.8
HIST-00315,Traction,Major,Tier-3 Branch,1,0,61,3.7,2.2,0,1,25.1
HIST-00316,Engineering,Major,Tier-2 Main,25,0,32,4.0,3.0,0,0,42.9
HIST-00317,Traction,Major,Tier-2 Main,10,1,53,1.6,3.0,0,1,73.6
HIST-00318,Engineering,Minor,Tier-1 Trunk,11,0,24,3.9,1.3,1,1,36.7
HIST-00319,S&T,Minor,Tier-3 Branch,1,0,24,2.5,3.3,0,1,6.9
HIST-00320,S&T,Major,Tier-2 Main,11,0,33,3.3,1.9,1,0,35.8
HIST-00321,S&T,Minor,Tier-2 Main,25,0,41,1.6,1.1,1,1,34.6
HIST-00322,S&T,Major,Tier-1 Trunk,19,1,46,2.4,1.4,0,1,84.2
HIST-00323,Engineering,Critical,Tier-2 Main,4,1,44,3.9,1.9,1,1,77.4
HIST-00324,Traction,Major,Tier-1 Trunk,10,1,50,3.3,2.1,1,1,73.9
HIST-00325,Traction,Major,Tier-1 Trunk,17,0,75,1.9,1.8,1,1,56.7
HIST-00326,Engineering,Minor,Tier-3 Branch,18,0,35,3.6,2.9,1,1,31.2
HIST-00327,S&T,Major,Tier-2 Main,19,1,43,3.4,1.6,0,1,77.6
HIST-00328,Engineering,Major,Tier-3 Branch,22,0,72,2.6,1.7,0,0,41.7
HIST-00329,Traction,Major,Tier-1 Trunk,0,1,86,3.7,2.2,0,1,72.9
HIST-00330,Traction,Major,Tier-1 Trunk,15,0,58,1.9,1.2,0,1,46.2
HIST-00331,Traction,Major,Tier-1 Trunk,10,1,78,3.9,3.4,0,1,81.3
HIST-00332,S&T,Minor,Tier-3 Branch,22,0,11,2.6,2.6,1,0,26.9
HIST-00333,Engineering,Critical,Tier-1 Trunk,6,1,82,3.3,1.7,0,1,86.7
HIST-00334,Traction,Critical,Tier-1 Trunk,18,1,92,1.9,1.9,0,1,94.8
HIST-00335,Engineering,Major,Tier-2 Main,19,0,42,2.2,1.2,0,0,47.7
HIST-00336,Traction,Major,Tier-3 Branch,8,1,79,2.0,3.2,0,1,64.5
HIST-00337,Engineering,Major,Tier-1 Trunk,7,0,37,1.7,2.7,1,0,46.5
HIST-00338,S&T,Critical,Tier-1 Trunk,12,1,83,3.9,2.7,0,1,96.0
HIST-00339,S&T,Minor,Tier-1 Trunk,2,0,35,2.8,3.3,1,0,33.3
HIST-00340,S&T,Critical,Tier-3 Branch,14,1,52,3.9,1.4,0,1,74.1
HIST-00341,Engineering,Critical,Tier-1 Trunk,21,1,85,1.9,2.5,0,1,99.9
HIST-00342,S&T,Minor,Tier-1 Trunk,12,0,45,2.5,1.8,0,0,43.5
HIST-00343,Engineering,Minor,Tier-2 Main,16,0,36,2.9,2.5,0,0,34.5
HIST-00344,S&T,Minor,Tier-2 Main,17,0,32,3.7,1.7,1,0,34.7
HIST-00345,S&T,Major,Tier-1 Trunk,12,1,81,2.3,1.6,1,1,87.8
HIST-00346,Traction,Minor,Tier-3 Branch,0,0,31,3.5,1.8,0,0,14.4
HIST-00347,S&T,Major,Tier-3 Branch,7,1,86,3.3,2.5,0,1,64.5
HIST-00348,Engineering,Minor,Tier-1 Trunk,15,0,43,3.7,3.1,1,0,39.1
HIST-00349,Engineering,Major,Tier-2 Main,4,0,33,2.0,1.1,0,0,35.9
HIST-00350,Traction,Minor,Tier-1 Trunk,14,0,42,2.5,3.3,1,1,44.9
HIST-00351,Traction,Major,Tier-1 Trunk,15,0,74,2.1,3.1,0,1,51.7
HIST-00352,Traction,Critical,Tier-3 Branch,24,1,57,3.6,2.6,1,1,84.7
HIST-00353,Engineering,Major,Tier-1 Trunk,0,0,31,1.9,3.0,0,1,36.8
HIST-00354,Traction,Minor,Tier-2 Main,8,0,37,3.7,3.1,0,1,27.3
HIST-00355,Traction,Major,Tier-2 Main,19,1,43,3.9,3.1,1,1,86.0
HIST-00356,S&T,Major,Tier-1 Trunk,21,1,38,2.3,1.7,0,1,84.2
HIST-00357,Traction,Major,Tier-2 Main,20,1,49,1.6,3.1,1,1,75.1
HIST-00358,Traction,Major,Tier-2 Main,23,1,93,4.0,1.6,0,1,81.1
HIST-00359,Traction,Major,Tier-1 Trunk,22,0,54,3.2,2.6,0,0,53.2
HIST-00360,S&T,Major,Tier-1 Trunk,5,0,53,2.2,2.2,1,1,47.6
HIST-00361,S&T,Minor,Tier-1 Trunk,21,0,31,2.1,3.2,0,0,42.1
HIST-00362,Traction,Major,Tier-2 Main,14,0,90,1.6,2.6,1,0,45.7
HIST-00363,Engineering,Major,Tier-1 Trunk,3,0,78,3.7,1.4,0,0,42.7
HIST-00364,S&T,Minor,Tier-3 Branch,4,0,30,3.7,1.5,0,0,15.7
HIST-00365,S&T,Minor,Tier-1 Trunk,1,0,10,3.4,2.4,0,0,25.2
HIST-00366,Engineering,Critical,Tier-1 Trunk,13,1,81,2.6,2.2,0,1,94.0
HIST-00367,Engineering,Major,Tier-2 Main,0,0,54,3.3,1.6,0,0,32.6
HIST-00368,Engineering,Major,Tier-2 Main,5,1,35,2.2,1.7,1,0,64.5
HIST-00369,S&T,Major,Tier-3 Branch,4,1,92,3.9,3.3,0,1,61.4
HIST-00370,Engineering,Minor,Tier-1 Trunk,23,0,11,3.0,1.4,0,0,42.3
HIST-00371,Engineering,Major,Tier-2 Main,24,0,36,1.8,3.1,0,0,44.9
HIST-00372,Traction,Major,Tier-1 Trunk,8,0,49,2.0,2.7,0,0,45.9
HIST-00373,S&T,Critical,Tier-2 Main,19,1,47,2.8,2.5,0,1,82.0
HIST-00374,Engineering,Minor,Tier-1 Trunk,19,0,22,3.4,3.1,0,0,44.8
HIST-00375,Traction,Major,Tier-1 Trunk,15,0,91,3.2,3.3,1,0,56.0
HIST-00376,Engineering,Minor,Tier-2 Main,2,0,16,3.8,2.6,0,0,20.4
HIST-00377,Traction,Major,Tier-1 Trunk,5,0,67,2.6,1.3,0,1,43.3
HIST-00378,Engineering,Major,Tier-1 Trunk,11,0,64,3.7,1.2,0,1,53.1
HIST-00379,Traction,Major,Tier-1 Trunk,12,0,91,3.5,1.3,1,0,54.8
HIST-00380,Engineering,Critical,Tier-3 Branch,15,1,86,2.0,1.9,0,1,77.2
HIST-00381,S&T,Critical,Tier-2 Main,23,1,46,3.7,2.1,0,1,83.7
HIST-00382,Traction,Major,Tier-1 Trunk,21,0,58,3.9,2.7,0,0,56.1
HIST-00383,S&T,Minor,Tier-1 Trunk,21,0,25,3.1,1.4,1,0,38.8
HIST-00384,S&T,Critical,Tier-2 Main,5,1,94,3.6,3.1,0,1,80.8
HIST-00385,Engineering,Minor,Tier-1 Trunk,10,0,27,3.1,2.0,0,1,37.4
HIST-00386,Traction,Minor,Tier-1 Trunk,15,0,38,2.3,3.5,1,0,41.4
HIST-00387,Engineering,Major,Tier-1 Trunk,17,1,41,3.1,3.2,1,1,84.4
HIST-00388,Engineering,Major,Tier-1 Trunk,10,1,36,3.5,3.1,0,1,70.4
HIST-00389,S&T,Minor,Tier-2 Main,22,0,33,3.4,1.6,0,0,35.0
HIST-00390,S&T,Minor,Tier-1 Trunk,16,0,33,3.3,1.1,0,0,39.9
HIST-00391,S&T,Minor,Tier-1 Trunk,8,0,22,2.5,2.1,0,0,35.8
HIST-00392,Engineering,Minor,Tier-1 Trunk,20,0,17,3.4,2.1,1,0,47.0
HIST-00393,S&T,Critical,Tier-1 Trunk,16,1,36,3.0,3.3,0,1,88.9
HIST-00394,S&T,Major,Tier-2 Main,4,1,71,2.8,2.0,1,0,66.4
HIST-00395,Engineering,Major,Tier-3 Branch,9,0,47,3.7,2.3,1,0,34.1
HIST-00396,Traction,Minor,Tier-3 Branch,20,0,23,2.0,2.6,0,0,29.9
HIST-00397,S&T,Critical,Tier-2 Main,5,1,94,3.3,2.9,1,1,77.0
HIST-00398,Traction,Major,Tier-3 Branch,22,0,66,3.7,2.1,0,0,40.7
HIST-00399,Engineering,Major,Tier-1 Trunk,1,1,50,1.9,1.2,0,1,74.6
HIST-00400,Engineering,Minor,Tier-1 Trunk,14,0,16,3.0,2.7,1,0,37.4
HIST-00401,S&T,Major,Tier-1 Trunk,16,0,66,2.5,2.0,1,0,54.1
HIST-00402,S&T,Critical,Tier-2 Main,6,1,86,3.6,3.3,1,1,79.7
HIST-00403,S&T,Major,Tier-2 Main,17,0,55,2.2,1.4,1,1,47.2
HIST-00404,Engineering,Minor,Tier-1 Trunk,1,0,37,2.2,1.7,0,0,23.1
HIST-00405,Traction,Critical,Tier-1 Trunk,4,1,35,1.6,3.3,1,1,83.0
HIST-00406,S&T,Major,Tier-2 Main,17,1,70,2.8,3.4,1,1,79.4
HIST-00407,Engineering,Minor,Tier-1 Trunk,17,0,44,3.7,2.7,0,0,41.1
HIST-00408,Engineering,Minor,Tier-2 Main,15,0,45,3.6,3.5,0,1,34.8
HIST-00409,Traction,Major,Tier-3 Branch,19,0,61,2.3,3.3,0,0,44.8
HIST-00410,S&T,Minor,Tier-1 Trunk,16,0,33,2.8,2.3,0,1,40.1
HIST-00411,S&T,Critical,Tier-2 Main,3,1,51,2.8,2.6,0,1,78.7
HIST-00412,S&T,Major,Tier-1 Trunk,21,0,43,2.0,3.1,1,0,53.5
HIST-00413,S&T,Minor,Tier-1 Trunk,21,0,19,1.6,1.2,0,0,45.8
HIST-00414,S&T,Critical,Tier-2 Main,8,1,82,2.5,2.6,0,1,82.2
HIST-00415,Traction,Critical,Tier-2 Main,17,1,30,3.4,2.5,1,1,81.4
HIST-00416,Engineering,Major,Tier-2 Main,9,0,68,3.0,1.7,0,0,38.3
HIST-00417,S&T,Critical,Tier-1 Trunk,7,1,47,3.6,1.7,1,1,85.2
HIST-00418,Engineering,Major,Tier-3 Branch,25,0,77,3.9,1.0,1,1,38.2
HIST-00419,Engineering,Critical,Tier-2 Main,17,1,40,3.8,1.9,0,1,83.2
HIST-00420,S&T,Minor,Tier-1 Trunk,5,0,24,3.0,1.6,0,1,35.3
HIST-00421,S&T,Minor,Tier-3 Branch,17,0,39,3.2,1.6,0,0,26.9
HIST-00422,Traction,Minor,Tier-1 Trunk,21,0,25,1.8,2.5,0,0,41.7
HIST-00423,Traction,Major,Tier-2 Main,22,0,76,1.9,1.8,0,0,51.8
HIST-00424,S&T,Major,Tier-2 Main,4,0,72,3.7,2.2,0,0,31.5
HIST-00425,Traction,Major,Tier-1 Trunk,19,1,65,2.8,1.7,1,1,87.4
HIST-00426,Engineering,Minor,Tier-3 Branch,16,0,11,3.5,2.4,1,1,22.8
HIST-00427,Engineering,Major,Tier-2 Main,17,0,49,3.4,2.8,0,1,44.3
HIST-00428,S&T,Major,Tier-1 Trunk,16,1,60,3.6,3.0,1,1,85.1
HIST-00429,S&T,Critical,Tier-2 Main,14,1,50,3.1,3.4,1,1,85.8
HIST-00430,S&T,Major,Tier-1 Trunk,7,0,59,1.7,1.9,0,0,52.0
HIST-00431,S&T,Minor,Tier-1 Trunk,15,0,39,3.1,1.3,1,0,41.4
HIST-00432,Traction,Minor,Tier-1 Trunk,17,0,21,2.4,1.9,1,0,40.2
HIST-00433,Engineering,Major,Tier-1 Trunk,7,0,75,3.5,3.2,0,0,49.0
HIST-00434,Engineering,Major,Tier-1 Trunk,16,0,57,1.9,1.4,1,0,51.4
HIST-00435,Engineering,Major,Tier-1 Trunk,10,0,91,3.0,2.6,0,1,50.8
HIST-00436,Engineering,Critical,Tier-2 Main,4,1,95,1.6,2.4,0,1,77.2
HIST-00437,Engineering,Major,Tier-1 Trunk,12,0,32,3.6,3.4,0,0,50.7
HIST-00438,Traction,Minor,Tier-1 Trunk,13,0,19,3.5,3.1,0,0,34.5
HIST-00439,S&T,Major,Tier-2 Main,10,0,38,1.8,1.5,1,0,39.1
HIST-00440,Engineering,Major,Tier-1 Trunk,19,0,94,3.4,1.2,1,1,61.8
HIST-00441,S&T,Major,Tier-1 Trunk,24,0,85,1.6,2.3,0,0,56.1
HIST-00442,Traction,Minor,Tier-1 Trunk,18,0,16,2.6,1.6,0,0,40.7
HIST-00443,Engineering,Major,Tier-3 Branch,13,1,30,2.9,1.3,0,0,62.3
HIST-00444,Engineering,Major,Tier-1 Trunk,11,1,84,3.1,1.6,1,1,77.9
HIST-00445,Traction,Major,Tier-2 Main,21,1,56,2.7,1.9,1,1,73.9
HIST-00446,Traction,Major,Tier-1 Trunk,11,0,80,3.3,3.1,1,1,54.1
HIST-00447,Engineering,Major,Tier-2 Main,5,1,95,2.9,2.7,1,1,68.7
HIST-00448,Traction,Minor,Tier-1 Trunk,2,0,19,2.7,2.5,0,1,29.8
HIST-00449,Engineering,Major,Tier-2 Main,23,1,81,3.3,2.5,0,1,77.8
HIST-00450,S&T,Major,Tier-1 Trunk,21,0,66,2.0,3.0,1,0,54.6
HIST-00451,Engineering,Major,Tier-2 Main,11,1,30,2.2,2.0,1,0,69.9
HIST-00452,S&T,Critical,Tier-1 Trunk,22,1,38,3.8,2.4,1,1,93.6
HIST-00453,S&T,Minor,Tier-1 Trunk,8,0,24,3.8,2.4,0,1,32.5
HIST-00454,S&T,Critical,Tier-1 Trunk,9,1,73,3.9,3.0,0,1,88.5
HIST-00455,S&T,Minor,Tier-2 Main,22,0,38,3.4,2.9,0,0,38.9
HIST-00456,S&T,Minor,Tier-1 Trunk,8,0,14,2.5,3.0,0,0,32.1
HIST-00457,Engineering,Minor,Tier-1 Trunk,11,0,43,2.2,1.7,0,0,34.3
HIST-00458,Traction,Critical,Tier-3 Branch,15,1,70,2.4,3.2,0,1,78.1
HIST-00459,Engineering,Minor,Tier-2 Main,6,0,41,2.1,1.7,0,1,25.8
HIST-00460,Engineering,Minor,Tier-1 Trunk,24,0,16,1.8,1.2,1,0,39.8
HIST-00461,Engineering,Minor,Tier-2 Main,1,0,40,3.7,3.2,1,0,20.3
HIST-00462,Traction,Critical,Tier-2 Main,16,1,65,2.5,2.9,0,1,87.9
HIST-00463,Engineering,Major,Tier-1 Trunk,17,1,74,1.9,3.4,1,1,83.0
HIST-00464,S&T,Major,Tier-2 Main,0,0,78,3.0,1.8,1,0,37.2
HIST-00465,Engineering,Major,Tier-1 Trunk,15,0,73,2.0,2.8,0,0,52.3
HIST-00466,Traction,Major,Tier-1 Trunk,4,0,59,3.5,2.8,0,0,46.3
HIST-00467,Traction,Critical,Tier-2 Main,23,1,49,2.6,1.3,1,1,86.6
HIST-00468,S&T,Major,Tier-1 Trunk,15,1,36,2.5,2.7,0,1,80.7
HIST-00469,Engineering,Minor,Tier-1 Trunk,20,0,16,2.4,2.4,0,0,39.5
HIST-00470,Traction,Critical,Tier-3 Branch,19,1,55,2.9,2.6,1,1,81.2
HIST-00471,Engineering,Minor,Tier-1 Trunk,10,0,42,3.7,2.0,0,0,33.1
HIST-00472,Engineering,Minor,Tier-2 Main,10,0,36,3.1,2.4,0,1,28.9
HIST-00473,Traction,Critical,Tier-1 Trunk,9,1,64,3.7,3.0,0,1,86.6
HIST-00474,S&T,Major,Tier-3 Branch,13,1,32,1.8,1.6,0,0,62.1
HIST-00475,S&T,Minor,Tier-1 Trunk,12,0,16,2.7,1.1,0,0,41.0
HIST-00476,Engineering,Critical,Tier-2 Main,2,1,79,2.3,1.6,0,1,79.8
HIST-00477,Traction,Major,Tier-1 Trunk,5,1,75,2.7,3.4,1,1,77.9
HIST-00478,Traction,Major,Tier-1 Trunk,22,0,88,3.1,2.6,1,0,57.1
HIST-00479,S&T,Major,Tier-1 Trunk,11,0,59,2.4,1.6,0,1,50.6
HIST-00480,S&T,Minor,Tier-2 Main,11,0,28,2.7,1.0,0,0,26.1
HIST-00481,Traction,Major,Tier-2 Main,25,1,59,2.0,3.2,0,1,78.8
HIST-00482,Traction,Critical,Tier-2 Main,20,1,79,3.6,1.6,0,1,86.9
HIST-00483,Traction,Major,Tier-2 Main,25,0,64,3.5,2.0,0,1,47.5
HIST-00484,Traction,Critical,Tier-1 Trunk,14,1,64,3.3,2.2,0,1,96.6
HIST-00485,Engineering,Critical,Tier-3 Branch,0,1,53,1.8,2.1,0,1,67.3
HIST-00486,Engineering,Critical,Tier-1 Trunk,13,1,69,3.5,2.2,0,1,91.9
HIST-00487,Traction,Major,Tier-1 Trunk,2,0,48,1.7,2.2,0,0,45.5
HIST-00488,Traction,Minor,Tier-2 Main,3,0,25,2.5,3.4,0,0,23.4
HIST-00489,Engineering,Critical,Tier-2 Main,3,1,56,2.3,1.8,1,1,71.3
HIST-00490,S&T,Critical,Tier-3 Branch,16,1,45,2.1,2.6,0,1,77.9
HIST-00491,Traction,Minor,Tier-3 Branch,6,0,17,1.5,3.0,1,1,16.7
HIST-00492,Engineering,Critical,Tier-1 Trunk,25,1,90,3.2,1.4,0,1,100.0
HIST-00493,Engineering,Critical,Tier-1 Trunk,19,1,73,3.1,1.1,1,1,100.0
HIST-00494,Engineering,Minor,Tier-2 Main,4,0,41,2.1,3.5,1,0,20.7
HIST-00495,Traction,Minor,Tier-1 Trunk,12,0,32,1.6,2.8,1,1,37.5
HIST-00496,S&T,Major,Tier-2 Main,17,1,89,2.2,3.1,1,1,77.6
HIST-00497,Engineering,Critical,Tier-1 Trunk,9,1,63,3.4,2.3,1,1,85.8
HIST-00498,Engineering,Minor,Tier-2 Main,11,0,25,2.3,1.2,1,0,27.6
HIST-00499,Engineering,Major,Tier-1 Trunk,17,1,66,1.8,2.3,0,1,83.6
HIST-00500,Engineering,Minor,Tier-1 Trunk,1,0,22,1.8,1.5,0,0,31.2
